,QUESTION,DIFF,WEIGHT,TYPE ,CORRECT,OPTION1,OPTION2,OPTION3,OPTION4
650,Which type of kernel is used in android?,,1,Evaluation-Android,micro,a) hybrid,b) monolithic,c) micro,d) None of the above
651,Which API returns high-quality images of a place?,Hard,1,Evaluation-android,b)place photos,a) place picher,b) place photos,c) photo picker,d) both a and b
652,Which API allows users to select a place on an interactive map?,Easy,1,Evaluation-android,c)Place Picker,a)place locker,b)place locator,c) place picker,d) None 
653,A service is stopped itself when it calls which method?,Expert,1,Evaluation-android,a)Stopself(),a)stopSelf(),b)SartService(),c)StopService,d) none of the above
654,A service is started when it calls which method?,Medium,1,Evaluation-android,b) startService(),a)StopService(),b)SartService(),c)BeganService,d) none of the above
655,Which service is used to play an audio track?,Medium,1,Evaluation-android,c)foreground,a)background,b)bound,c) foreground,d) none
656,Android service API provides user interface. Statement is ….?,Easy,1,Evaluation-android,a) False,a) true,b)false,c) partially true,d)all
657,What are the functionalities in asyncTask in android?,Expert,1,Evaluation-android,d) onPostExecution(),a) onPreExecution(),b) doInBackground(),c) onProgressUpdate(),d) onPostExecution()
658,How to access the context in android content provider?,Medium,1,Evaluation-android,d) a & c,a) Using getContext() in onCreate(),b) Using intent(),c) Using getApplicationContext() at anywhere in an application,d) a & c
659,What is the 9 patch tool in android?,Easy,1,Evaluation-android,"a) Using with tool, we can redraw images in 9 sections.","a) Using with tool, we can redraw images in 9 sections.",b) image extension tool,c) image editable tool,d) Device features
660,How to fix crash using log cat in android?,Expert,1,Evaluation-android,b) log cat contains the exception name along with the line number,a) gmail,b) log cat contains the exception name along with the line number,c) Google search,d) None of the above.
661,What is the JSON exception in android?,Easy,1,Evaluation-android,a) JSon Exception,a) JSon Exception,b) Json Not found exception,c) Input not found exception,d) None of the above
662,How many levels of securities are there in android?,Hard,1,Evaluation-android,a) App level security and kernel level security,a) App level security and kernel level security,b) Android level security,c) Java level security,d) None of the above
663, What is the main difference between set and list in android?,Hard,1,Evaluation-android,d)  b & c,a) Both are same,b) Set can't contain duplicate values,c) List may contain duplicate values,d)  b & c
664,Package of compiled Java codes with some other resources is called,Medium,1,Evaluation-android,b) APK,a) IDE,b) APK,c) JDK,d) IDE
665,When classes are divided into many parts to achieve different functionalities is called,Medium,1,Evaluation-android,d) mehods,a) classes,b) objects ,c) stubs,d) methods
666,Property that is used for formatting font is,Easy,1,Evaluation-android,b) typeface,a) color,b) typeface,c) ImageView,d) Mip Map
667,"In android studio, currently open file location can be shown by",Easy,1,Evaluation-android,a) navigation bar,a) navigation bar,b) tool bar,c) menue bar,d) editor tab
668,"Considering following statement <br>protected void onCreated(Bund saveInstncState) {, onCreated is called",Expert,1,Evaluation-android,b) method name,a) method declaration,b) method name,c) method signature,d) method call
669, A type of service provided by android that shows messages and alerts to user is,Hard,1,Evaluation-android,c) Notifications Manager,a) Content Providers,b) View System,c) Notifications Manager,d) Activity Manager
670,"Broadcast that includes information about battery state, level, etc. is",Hard,1,Evaluation-android,a) android.intent.action.BATTERY_CHANGED, a) android.intent.action.BATTERY_CHANGED,b) android.intent.action.BATTERY_LOW,c) android.intent.action.BATTERY_OKAY,d) android.intent.action.CALL_BUTTON
671,"One of application component, that manages application's background services is called",Medium,1,Evaluation-android,c) Services,a) Activities,b) Broadcast Receivers,c) Services,d) Content Providers
672,"In android studio, callback that is called when activity interaction with user is started is",Easy,1,Evaluation-android,c) onResume,a) onStart,b) onStop,c) onResume,d) onDestroy
673,Tab that can be used to do any task that can be done from DOS window is,Easy,1,Evaluation-android,c) terminal,a) TODO,b) messages,c) terminal,d) comments
674,Space outside of widget can be customized using,Easy,1,Evaluation-android,d) margins,a) padding,b) height,c) weight,d) margins
675,Tab that shows hierarchy of project is,Easy,1,Evaluation-android,b) structure,a) Build variants,b) structure,c) Favorites,d) project
676,"In android, compiled code is executed by part of android system called",Expert,1,Evaluation-android,b) DVM,a)DEX,b) DVM,c) JDK,d) API
677,"A part of android studio, that work as a simulator for android devices is called",Hard,1,Evaluation-android,b) emulator,a) driver,b) emulator,c) stubs,d) firmware
678,Code that provide easy way to use all android features is called,Easy,1,Evaluation-android,a) API,a) API,b) DEX,c) DVM,d) JDK
679,If a button is clicked whose method in Java is not defined then android application will,Medium,1,Evaluation-android,b) crash,a) donothing,b) crash,c) show black screen,d) get hang
680,"Android content provider architecture, component that does not resides on data layer is",Medium,1,Evaluation-android,d) content provider,a) internet,b) Sqlite,c) Files,d) content provider
681,Android calculates pixels density of mobile (currently using app) using unit of measurement,Easy,1,Evaluation-android,c) DP,a) CP ,b) SP,c)DP,d) GP
682,"In android studio, each new activity created must be defined in",Easy,1,Evaluation-android,d) AndroidManifest.xml,a) res/layout,b) res/values,c) Build.gradle,d) AndroidManifest.xml
683,Android component that controls external elements of file is called,Hard,1,Evaluation-android,b) resource,a) internet,b) resource ,c) view,d) manifest
684,A type of service provided by android that controls application lifespan and activity pile is,Hard,1,Evaluation-android,a)Activity Manager,a) Activity Manager,b) View System,c) Notifications Manager,d) Content Providers
685,One of operating system that cannot be used for android application development is,Easy,1,Evaluation-android,b) Cooja,a) Eclipse,b) Cooja,c) Netbeans,d) Android studio
686,"Activity is needed to be stopped by doing any operation until resumed callback is called, type of callback is",Easy,1,Evaluation-android,a) onPause,a) onPause,b) onDestroy,c) onResume,d) onRestart
687,"In android studio, a service that is started and cannot be stopped even calling activity is destroyed is",Expert,1,Evaluation-android,d) bindService(),a) startService(),b) onStop(),c) onDestroy(),d) bindService()
688,Android understandable form of code is called,Expert,1,Evaluation-android,b) DEX,a) JDK,b) DEX,c) DVM,d) API
689,One of operating system that cannot be used for android application development is,Easy,1,Evaluation-android,d) Contiki,a) Windows,b) MAX,c) Linux,d) Contiki
690,A class that allows to display messages on logcat windows is,Easy,1,Evaluation-android,b) Log class,a) Toast Class,b) log class,c) makeTest class,d) Show class
691,One of recent android version is,Easy,1,Evaluation-android,b) Marshmallow,a) Kitkat,b) Marshmallow,c) Lolipop,d) Jelly Bean
692,Required Java environment for development is called,Easy,1,Evaluation-android,a) JDK,a)JDK,b) DEX,c) DVM ,d) API
693,"In android studio, virtual console type tab that is used as command line interface is called",Medium,1,Evaluation-android,d) ADB logs,a) memory,b) CPU,c) logcat ,d) ADB logs
694, BroadcastReceiver's subclass overrides method,Expert,1,Evaluation-android,d) onReceive(),a) OnCreate(),b) onStart(),c) onRestart(),d) onReceive()
695,Dalvik Virtual Machine (DVM) actually uses core features of,Expert,1,Evaluation-android,c) Linux,a) Windows,b) Mac,c) Linux,d) Contiki
696,Space between edge to of widget content of widget can be customized using,Expert,1,Evaluation-android,c) padding,a) margins,b) height,c) padding,d) weight
697,Button option can be choose from palette category,Easy,1,Evaluation-android,c) widgets,a) textfields,b) containers,c) widgets,d) layouts
698,"In android studio, tab in which error is shown is called",Easy,1,Evaluation-android,a) logcat,a) logcat,b) memory,c) ADB logs,d) CPU
699,Requests from Content Provider class is handled by method,Hard,1,Evaluation-android,d) ContentResolver,a) onCreate,b) onSelect,c) onClick,d) ContentResolver
700,A type of class that will be responsible to design main screen activity on first time launch of application is called,Easy,1,Evaluation-android,a) Activity class,a) Activity class,b) Parent class,c) Child class,d) Inherited class
701,Method is called when service was created first-time using onStartCommand() or onBind() is,Easy,1,Evaluation-android,b) onCreate(),a) onStart(),b) onCreate(),c) onRestart(),d) startService()
702,Underlying operating system for android is,Easy,1,Evaluation-android,a) Linux ,a) Linux,b) Windows,c) Contiki,d) Ubuntu
703,"On implementing method of onBind(), service must provide an interface for user by returning object called",Hard,1,Evaluation-android,a) Ibinder,a) Ibinder,b) Intent,c) R,d) Layout
704,Android component that manages appearance and format on screen is called,Medium,1,Evaluation-android,d) layout,a) fragment,b) intent,c) view,d) layout
705,"In android UI, <code>onClick</code> is actually a",Expert,1,Evaluation-android,c) property,a) class,b) button,c) property,d) function
706,SendStickyBroadcast(Intent) method is used to show that Intent is,Expert,1,Evaluation-android,d) sticky,a) prominent,b) prioritized,c) optional,d) sticky
707,Required android environment for development is called,Medium,1,Evaluation-android,a) SDK,a) SDK,b) IDE ,c) APK,d) JDK
708," In android studio, quick options can be accessed from",Hard,1,Evaluation-android,b) menu bar,a) tool bar,b) menu bar,c) navigation bar,d) editor tab
709,"In android studio, tab in which CPU usage of app is shown is called",Hard,1,Evaluation-android,c) CPU,a) ADB logs,b) memory,c) CPU,d) logcat
710,A method that is used to handle what happens after clicking a button is,Expert,1,Evaluation-android,c) onClick,a) OnCreate,b) onSelect,c) onClick,d) onDo
711,Method that is used to produce log messages in android is,Hard,1,Evaluation-android,a) Log.d(),a) Log.d(),b) Log.D(),c) Log.R(),d) Log.r()
712,"In android studio, main activity for application must be declared in",Medium,1,Evaluation-android,b) <intent-filter>,a) <intent>,b) <intent-filter>,c) <intent-layout>,d) <intent-activity>
713,Android component that works like database,Medium,1,Evaluation-android,d) Content Providers,a) Services,b) Activities,c) Broadcast Receivers,d) Content Providers
714,"By default in android studio during app development, directory made for xml files is",Easy,1,Evaluation-android,b) res/values,a) res/layout,b) res/values,c) AndroidManifest.xml,d) Build.gradle
715,A type of layout elements that allows all included elements in order is,Easy,1,Evaluation-android,c) LinearLayout,a) ConstraintLayout,b) TextviewLayout,c) LinearLayout,d) RelativeLayout
